大学,省份,年份,专业,最低分,最低位次,批次
清华大学,北京,2021,综合,598,48827,理科
清华大学,北京,2021,综合,597,25957,文科
清华大学,上海,2021,综合,632,41905,理科
清华大学,上海,2021,综合,577,36277,文科
清华大学,天津,2021,综合,614,40315,理科
清华大学,天津,2021,综合,594,6473,文科
清华大学,河南,2021,综合,682,27469,理科
清华大学,河南,2021,综合,675,25470,文科
清华大学,山东,2021,综合,694,17268,理科
清华大学,山东,2021,综合,671,29970,文科
清华大学,河北,2021,综合,699,33253,理科
清华大学,河北,2021,综合,652,24794,文科
清华大学,江苏,2021,综合,661,14093,理科
清华大学,江苏,2021,综合,652,24842,文科
清华大学,浙江,2021,综合,673,11746,理科
清华大学,浙江,2021,综合,640,27981,文科
清华大学,广东,2021,综合,644,6188,理科
清华大学,广东,2021,综合,639,34318,文科
清华大学,四川,2021,综合,687,34611,理科
清华大学,四川,2021,综合,645,18773,文科
清华大学,湖南,2021,综合,695,11337,理科
清华大学,湖南,2021,综合,665,35228,文科
清华大学,湖北,2021,综合,680,33644,理科
清华大学,湖北,2021,综合,643,22184,文科
清华大学,北京,2022,综合,626,37345,理科
清华大学,北京,2022,综合,595,40220,文科
清华大学,上海,2022,综合,626,15336,理科
清华大学,上海,2022,综合,575,44823,文科
清华大学,天津,2022,综合,636,19127,理科
清华大学,天津,2022,综合,590,45337,文科
清华大学,河南,2022,综合,695,39475,理科
清华大学,河南,2022,综合,653,34051,文科
清华大学,山东,2022,综合,686,14620,理科
清华大学,山东,2022,综合,641,21364,文科
清华大学,河北,2022,综合,702,9430,理科
清华大学,河北,2022,综合,674,32446,文科
清华大学,江苏,2022,综合,652,5131,理科
清华大学,江苏,2022,综合,650,11127,文科
清华大学,浙江,2022,综合,644,12264,理科
清华大学,浙江,2022,综合,619,36927,文科
清华大学,广东,2022,综合,667,14684,理科
清华大学,广东,2022,综合,630,37319,文科
清华大学,四川,2022,综合,694,20068,理科
清华大学,四川,2022,综合,651,46488,文科
清华大学,湖南,2022,综合,697,21942,理科
清华大学,湖南,2022,综合,640,20680,文科
清华大学,湖北,2022,综合,686,23917,理科
清华大学,湖北,2022,综合,651,37232,文科
清华大学,北京,2023,综合,608,6477,理科
清华大学,北京,2023,综合,593,39645,文科
清华大学,上海,2023,综合,627,37960,理科
清华大学,上海,2023,综合,582,13238,文科
清华大学,天津,2023,综合,619,6277,理科
清华大学,天津,2023,综合,577,27614,文科
清华大学,河南,2023,综合,703,37113,理科
清华大学,河南,2023,综合,654,29179,文科
清华大学,山东,2023,综合,687,49319,理科
清华大学,山东,2023,综合,675,37842,文科
清华大学,河北,2023,综合,677,37678,理科
清华大学,河北,2023,综合,678,10820,文科
清华大学,江苏,2023,综合,653,29822,理科
清华大学,江苏,2023,综合,629,12816,文科
清华大学,浙江,2023,综合,678,22067,理科
清华大学,浙江,2023,综合,629,28144,文科
清华大学,广东,2023,综合,662,15741,理科
清华大学,广东,2023,综合,617,47903,文科
清华大学,四川,2023,综合,658,16715,理科
清华大学,四川,2023,综合,656,40399,文科
清华大学,湖南,2023,综合,691,8196,理科
清华大学,湖南,2023,综合,660,43624,文科
清华大学,湖北,2023,综合,685,44871,理科
清华大学,湖北,2023,综合,655,44905,文科
北京大学,北京,2021,综合,620,5762,理科
北京大学,北京,2021,综合,576,7445,文科
北京大学,上海,2021,综合,602,26421,理科
北京大学,上海,2021,综合,580,21241,文科
北京大学,天津,2021,综合,637,49818,理科
北京大学,天津,2021,综合,603,28645,文科
北京大学,河南,2021,综合,697,26651,理科
北京大学,河南,2021,综合,664,41420,文科
北京大学,山东,2021,综合,704,18929,理科
北京大学,山东,2021,综合,669,42483,文科
北京大学,河北,2021,综合,686,15704,理科
