大学,省份,年份,专业,最低分,最低位次,文理科
清华大学,浙江,2024,（通用基础类）,711,35,文科
清华大学,浙江,2024,-,708,59,文科
清华大学,浙江,2024,（物理基础类）,707,81,文科
清华大学,北京,2024,五年）（含建筑学,688,423,文科
清华大学,北京,2024,至善书院）（含经济学,688,423,文科
清华大学,北京,2024,（新雅书院）（含社会学等全校各专业）,688,423,文科
清华大学,北京,2024,经济,688,423,文科
清华大学,北京,2024,含法学,688,423,文科
清华大学,北京,2024,（新雅书院）（含工程管理（等全校各专业）,698,148,文科
清华大学,北京,2024,（含电子信息科学与技术）,689,384,文科
清华大学,北京,2024,含计算机科学与技术,689,384,文科
清华大学,北京,2024,含土木,689,384,文科
清华大学,北京,2024,（卓越医师科学家）（八年医）（含临床医学（卓越医师,689,384,文科
清华大学,北京,2024,（协和（八年医）（含临床医学（协和）,689,384,文科
清华大学,北京,2024,数理类）（含数学与应用数学,689,384,文科
清华大学,北京,2024,（含自动化（含信息管理信息系统方向）,689,384,文科
清华大学,北京,2024,（秀钟书院）（含交叉工程）,689,384,文科
清华大学,北京,2024,（为先书院）（含交叉工程）,689,384,文科
清华大学,北京,2024,（笃实书院）（含交叉工程）,689,384,文科
清华大学,北京,2024,智能制造与装备类）（含机械工程,689,384,文科
清华大学,北京,2024,能源与电气类）（含建筑环境与能源应用工程,689,384,文科
清华大学,北京,2024,化生类）（含化学,689,384,文科
清华大学,广东,2024,（外文实验班）（含英语专业；住宿费：待定；办学地点,665,20,文科
清华大学,广东,2024,经济,665,20,文科
清华大学,广东,2024,至善书院）（含经济学,665,20,文科
清华大学,广东,2024,含法学,665,20,文科
清华大学,广东,2024,（新雅书院）（含工程管理等全校各专业；住宿费：待定,693,47,文科
清华大学,广东,2024,含建筑学,692,56,文科
清华大学,广东,2024,含计算机科学与技术,694,41,文科
清华大学,广东,2024,（卓越医师科学家）（含临床医学卓越医师科学家专业；,693,47,文科
清华大学,广东,2024,（协和）（年3含临床医学协和专业；住宿费：待定；办,692,56,文科
清华大学,广东,2024,数理类）（含数学与应用数学,691,62,文科
清华大学,广东,2024,（秀钟书院）（含交叉工程专业；住宿费：待定；办学地,691,62,文科
清华大学,广东,2024,（为先书院）（含交叉工程专业；住宿费：待定；办学地,691,62,文科
清华大学,广东,2024,能源与电气类）（含建筑环境与能源应用工程,691,62,文科
清华大学,广东,2024,（笃实书院）（含交叉工程专业；住宿费：待定；办学地,691,62,文科
清华大学,广东,2024,（含电子信息科学与技术专业；住宿费：待定；办学地点,689,85,文科
清华大学,广东,2024,（含自动化含信息管理信息系统专业；住宿费：待定；办,689,85,文科
清华大学,广东,2024,含土木,688,100,文科
清华大学,广东,2024,化生类）（含化学,688,100,文科
清华大学,广东,2024,智能制造与装备类）（含机械工程,688,100,文科
清华大学,广东,2024,（校本部）（待定）,665,20,文科
清华大学,广东,2024,住宿费待定）（定向生录取分数要求按我校招生章程执行,680,245,文科
清华大学,江苏,2024,经济,668,,文科
清华大学,江苏,2024,-,695,,文科
清华大学,江苏,2024,（新雅书院）,694,,文科
清华大学,江苏,2024,（化生类）,698,,文科
清华大学,江苏,2024,（电子信息科学与技术）,694,,文科
清华大学,江苏,2024,（笃实书院）,694,,文科
清华大学,江苏,2024,（协和）,692,,文科
清华大学,江苏,2024,（为先书院）,692,,文科
清华大学,江苏,2024,（数理类）,691,,文科
清华大学,江苏,2024,（能源与电气类）,691,,文科
清华大学,江苏,2024,（智能制造与装备类）,690,,文科
清华大学,四川,2024,（新雅书院）（包含专业:社会学（等全校各专业））（,654,,文科
清华大学,四川,2024,（新雅书院）（包含专业:工程管理（等全校各专业））,705,,理科
清华大学,四川,2024,包含专业:计算机科学与技术,704,,理科
清华大学,四川,2024,包含专业:建筑学,701,,理科
清华大学,四川,2024,（包含专业:电子信息科学与技术）（认同并执行四川省,700,,理科
清华大学,四川,2024,数理类）（包含专业:数学与应用数学,699,,理科
清华大学,四川,2024,（笃实书院）（包含专业:交叉工程）（认同并执行四川,699,,理科
清华大学,四川,2024,（协和）（包含专业：临床医学（协和））（认同并执行,698,63,理科
清华大学,四川,2024,（卓越医师科学家）（包含专业：临床医学（卓越医师科,698,63,理科
清华大学,四川,2024,经济,698,63,理科
清华大学,四川,2024,（包含专业:自动化（含信息管理信息系统方向））（认,698,63,理科
清华大学,四川,2024,（为先书院）（包含专业：交叉工程）（认同并执行四川,697,77,理科
清华大学,四川,2024,智能制造与装备类）（包含专业:机械工程,697,77,理科
清华大学,四川,2024,化生类）（包含专业:化学,696,85,理科
清华大学,山东,2024,（通用基础类）,697,45,文科
清华大学,山东,2024,-,693,83,文科
清华大学,山东,2024,（物理基础类）,691,124,文科
清华大学,河南,2024,至善书院）（包含专业:经济学,671,,文科
清华大学,河南,2024,经济,663,22,文科
清华大学,河南,2024,（外文实验班）（包含专业:英语;办学地点:清华大学,658,36,文科
清华大学,河南,2024,包含专业:计算机科学与技术,708,13,理科
清华大学,河南,2024,（新雅书院）（包含专业:工程管理（等全校各专业）;,707,17,理科
清华大学,河南,2024,（包含专业:电子信息科学与技术;办学地点:清华大学,703,33,理科
清华大学,河南,2024,（包含专业:自动化（含信息管理信息系统方向）;办学,703,33,理科
清华大学,河南,2024,（为先书院）（包含专业:交叉工程;办学地点:清华大,699,64,理科
清华大学,河南,2024,化生类）（包含专业:化学,699,64,理科
清华大学,河南,2024,（协和）（学制八年医）（包含专业:临床医学（协和）,698,75,理科
清华大学,河南,2024,（笃实书院）（:包含专业:交叉工程;办学地点:清华,698,75,理科
清华大学,河南,2024,数理类）（包含专业:数学与应用数学,697,81,理科
清华大学,河南,2024,智能制造与装备类）（包含专业:机械工程,696,94,理科
清华大学,河南,2024,能源与电气类）（包含专业:建筑环境与能源应用工程,696,94,理科
清华大学,河南,2024,（秀钟书院）（包含专业:交叉工程;办学地点:清华大,696,94,理科
清华大学,湖南,2024,（外文实验班）（包含英语）,654,53,文科
清华大学,湖南,2024,（新雅书院）（包含社会学等全校各专业）,654,53,文科
清华大学,湖南,2024,经济,654,53,文科
清华大学,湖南,2024,至善书院）（包含经济学,654,53,文科
清华大学,湖南,2024,外文实验班）（包含英语;在我省的招生实施区域为40个脱贫县,653,57,文科
清华大学,湖南,2024,包含法学,653,57,文科
清华大学,湖南,2024,包含建筑学,689,84,文科
清华大学,湖南,2024,（新雅书院）（包含工程管理等全校各专业）,689,84,文科
清华大学,湖南,2024,（包含电子信息科学与技术）,692,59,文科
清华大学,湖南,2024,包含计算机科学与技术,692,59,文科
清华大学,湖南,2024,（卓越医师科学家）（包含临床医学（卓越医师科学家）,692,59,文科
清华大学,湖南,2024,数理类）（包含数学与应用数学,692,59,文科
清华大学,湖南,2024,（包含自动化（含信息管理信息系统方向））,692,59,文科
清华大学,湖南,2024,（为先书院）（包含交叉工程）,692,59,文科
